id;the_geom;ID;POJEMNOSC
handel_region.21;MULTIPOLYGON (((617482.73 476644.8399999994, 617498.39 476727.0249999994, 617513.57 476725.5849999994, 617533.43 476732.81499999936, 617552.21 476738.9499999994, 617563.43 476741.12499999936, 617570.63 476742.92499999935, 617585.45 476741.12499999936, 617597.39 476737.1499999994, 617607.86 476733.5349999994, 617567.75 476673.8349999994, 617564.54 476675.93499999936, 617549.63 476714.3349999994, 617514.02 476717.7099999994, 617513.57 476715.5349999994, 617512.7 476702.7849999994, 617517.65 476702.43999999936, 617512.37 476678.81499999936, 617500.94 476678.5149999994, 617498.45 476669.4699999994, 617495.21 476656.94499999937, 617486.48 476642.79999999935, 617482.73 476644.8399999994)));21;279
handel_region.22;MULTIPOLYGON (((622614.8 477904.4049999994, 622643.1799999999 477929.7849999994, 622652.6 477938.7849999994, 622660.88 477946.61499999935, 622685.54 477969.9099999994, 622685.63 477953.36499999935, 622685.72 477942.5949999994, 622685.75 477940.73499999935, 622685.84 477933.8349999994, 622686.14 477892.3449999994, 622686.17 477881.97999999934, 622686.98 477870.30999999936, 622687.79 477829.7049999994, 622687.85 477825.81999999937, 622686.95 477822.44499999937, 622680.53 477822.2049999994, 622671.05 477821.4549999994, 622647.41 477820.5249999994, 622615.4 477818.0949999994, 622616.15 477863.5149999994, 622615.04 477897.2799999994, 622614.8 477904.4049999994)));22;551
handel_region.23;MULTIPOLYGON (((629289.08 475738.1649999994, 629267.72 475740.00999999937, 629253.65 475742.30499999935, 629214.98 475746.05499999935, 629193.29 475748.1399999994, 629153.51 475752.4749999994, 629126.24 475778.4099999994, 629110.67 475796.25999999937, 629110.52 475809.5949999994, 629115.86 475916.63499999937, 629124.5 476000.3349999994, 629130.47 476049.8499999994, 629133.44 476058.50499999936, 629204.57 476128.79499999934, 629252.78 476176.9149999994, 629263.61 476186.12499999936, 629289.6799999999 476198.9649999994, 629331.17 476193.54999999935, 629361.38 476190.38499999937, 629390.6 476187.3249999994, 629399.12 476186.43999999936, 629421.38 476187.9699999994, 629431.16 476190.5799999994, 629452.07 476196.1449999994, 629469.29 476198.43999999936, 629476.19 476197.4049999994, 629479.28 476195.61999999936, 629482.7 476191.6599999994, 629484.08 476187.44499999937, 629485.13 476179.10499999934, 629486.36 476155.98999999935, 629488.4299999999 476148.62499999936, 629493.02 476142.81999999937, 629507 476139.9699999994, 629524.97 476139.8349999994, 629547.29 476142.50499999936, 629563.34 476150.22999999934, 629576.39 476153.54499999934, 629583.02 476153.0349999994, 629593.04 476158.88499999937, 629596.7 476161.61499999935, 629600.03 476176.7649999994, 629601.89 476182.79499999934, 629608.67 476184.50499999936, 629626.4 476183.18499999936, 629682.89 476178.9549999994, 629678.84 476134.2849999994, 629678.78 476126.55999999936, 629678.75 476122.5849999994, 629674.49 476116.8249999994, 629668.4299999999 476107.10499999934, 629662.19 476098.9149999994, 629657.78 476093.12499999936, 629656.67 476085.6549999994, 629656.28 476083.0149999994, 629649.92 476079.8349999994, 629644.58 476076.0849999994, 629634.77 476067.44499999937, 629624.3 476057.7099999994, 629614.22 476049.9099999994, 629583.32 476016.36999999936, 629509.3099999999 475944.12999999936, 629477.0599999999 475911.2049999994, 629464.85 475898.6649999994, 629449.7 475883.10999999935, 629320.55 475750.19499999937, 629316.32 475747.2849999994, 629311.58 475744.04499999934, 629298.53 475739.4549999994, 629289.08 475738.1649999994)));23;11006
handel_region.24;MULTIPOLYGON (((629723.33 475633.4049999994, 629682.83 475637.7099999994, 629656.28 475640.54499999934, 629652.74 475640.9049999994, 629628.11 475643.5299999994, 629599.3099999999 475646.5899999994, 629568.77 475649.8299999994, 629539.25 475652.9649999994, 629526.23 475654.3449999994, 629514.83 475656.86499999935, 629516.78 475675.10499999934, 629517.77 475683.7749999994, 629509.7 475684.68999999936, 629511.26 475698.36999999936, 629501.66 475699.3299999994, 629497.64 475699.86999999936, 629500.16 475722.42999999935, 629530.46 475719.4149999994, 629530.46 475723.62999999936, 629541.53 475722.05499999935, 629543.03 475733.9649999994, 629552.09 475734.44499999937, 629562.44 475749.6549999994, 629570.51 475744.8999999994, 629587.01 475742.0199999994, 629662.73 475733.8449999994, 629694.59 475729.94499999937, 629704.49 475729.19499999937, 629699.54 475680.06999999937, 629699.24 475677.2199999994, 629693.69 475677.7749999994, 629692.16 475664.10999999935, 629698.82 475663.43499999936, 629725.49 475660.37499999936, 629723.33 475633.4049999994)));24;1170
handel_region.25;MULTIPOLYGON (((621458.36 475399.1649999994, 621455.09 475396.7649999994, 621447.65 475406.2899999994, 621455.8099999999 475412.49999999936, 621458.36 475409.16999999934, 621454.34 475406.2149999994, 621456.38 475403.4099999994, 621455.66 475402.86999999936, 621458.36 475399.1649999994)));25;5
handel_region.26;MULTIPOLYGON (((625421.0599999999 481921.9599999994, 625430 481921.37499999936, 625429.58 481916.42499999935, 625420.7 481917.05499999935, 625421.0599999999 481921.9599999994)));26;3
handel_region.27;MULTIPOLYGON (((625575.89 480233.0349999994, 625577.54 480238.3299999994, 625594.61 480232.94499999937, 625592.96 480227.6649999994, 625575.89 480233.0349999994)));27;7
handel_region.28;MULTIPOLYGON (((623365.55 478897.0899999994, 623356.61 478900.94499999937, 623358.74 478905.87999999936, 623363.9299999999 478903.6449999994, 623363.84 478903.4649999994, 623367.62 478901.8449999994, 623365.55 478897.0899999994)));28;3
handel_region.29;MULTIPOLYGON (((624786.2 481535.9649999994, 624785.99 481545.1449999994, 624790.91 481545.2199999994, 624791.21 481536.00999999937, 624786.2 481535.9649999994)));29;3
handel_region.30;MULTIPOLYGON (((627759.6799999999 474046.7199999994, 627749.6 474043.80999999936, 627745.28 474058.8249999994, 627747.41 474059.43999999936, 627755.36 474061.73499999935, 627759.6799999999 474046.7199999994)));30;11
handel_region.31;MULTIPOLYGON (((626423.9299999999 480300.98499999935, 626418.5599999999 480300.4149999994, 626417.72 480308.5299999994, 626423.09 480309.0849999994, 626423.9299999999 480300.98499999935)));31;3
handel_region.32;MULTIPOLYGON (((626921 479060.3499999994, 626901.6799999999 479065.68999999936, 626904.65 479076.4149999994, 626923.94 479071.11999999936, 626921 479060.3499999994)));32;15
handel_region.33;MULTIPOLYGON (((621236.45 480226.1649999994, 621209.15 480237.68499999936, 621218.63 480260.5299999994, 621245.93 480249.4149999994, 621236.45 480226.1649999994)));33;49
handel_region.34;MULTIPOLYGON (((630150.29 474727.04499999934, 630147.71 474717.3549999994, 630112.07 474726.86499999935, 630114.74 474736.5249999994, 630150.29 474727.04499999934)));34;25
handel_region.35;MULTIPOLYGON (((629586.83 474597.23499999935, 629551.25 474605.69499999937, 629558.72 474640.94499999937, 629592.65 474633.80499999935, 629594.54 474637.79499999934, 629595.74 474637.5249999994, 629590.4299999999 474609.05499999935, 629591.27 474608.7849999994, 629591.48 474608.54499999934, 629591.63 474608.2749999994, 629591.72 474607.9599999994, 629591.72 474607.6449999994, 629591.66 474607.3449999994, 629591.51 474607.05999999936, 629591.33 474606.80499999935, 629591.09 474606.62499999936, 629590.79 474606.50499999936, 629590.49 474606.42999999935, 629588.9299999999 474606.4749999994, 629586.83 474597.23499999935)));35;91
handel_region.36;MULTIPOLYGON (((624266.66 481239.2049999994, 624266.78 481238.7849999994, 624267.23 481234.7049999994, 624265.94 481230.44499999937, 624264.83 481227.0849999994, 624260.72 481228.37499999936, 624259.67 481225.04499999934, 624255.08 481226.4699999994, 624255.74 481228.56999999937, 624253.97 481229.0349999994, 624255.29 481233.35499999934, 624261.08 481231.5849999994, 624263.15 481238.3949999994, 624266.66 481239.2049999994)));36;6
handel_region.37;MULTIPOLYGON (((625017.86 480344.2899999994, 625020.35 480326.00499999936, 625004.99 480323.99499999936, 625002.65 480342.3249999994, 625017.86 480344.2899999994)));37;19
handel_region.38;MULTIPOLYGON (((624219.74 471414.54999999935, 624242.78 471391.56999999937, 624231.38 471380.3499999994, 624225.6799999999 471386.1399999994, 624228.35 471388.79499999934, 624214.7 471402.66999999934, 624212 471400.0149999994, 624205.82 471405.9099999994, 624203.27 471403.37499999936, 624201.29 471403.37499999936, 624195.71 471408.98499999935, 624199.25 471412.50999999937, 624191.51 471420.30999999936, 624206.39 471435.0849999994, 624210.41 471430.88499999937, 624222.95 471417.7299999994, 624219.74 471414.54999999935)));38;65
handel_region.39;MULTIPOLYGON (((616826.75 475980.5799999994, 616820.54 475977.0399999994, 616816.46 475984.1649999994, 616822.67 475987.67499999935, 616826.75 475980.5799999994)));39;4
handel_region.40;MULTIPOLYGON (((622414.19 478611.2049999994, 622413.47 478602.8349999994, 622405.01 478603.56999999937, 622405.52 478609.1649999994, 622407.35 478609.0149999994, 622407.62 478611.7749999994, 622414.19 478611.2049999994)));40;4
handel_region.41;MULTIPOLYGON (((622773.41 479122.37499999936, 622777.04 479130.66999999934, 622785.62 479127.05499999935, 622782.08 479118.72999999934, 622781.36 479118.99999999936, 622773.41 479122.37499999936)));41;6
handel_region.42;MULTIPOLYGON (((621425.69 475385.31999999937, 621415.58 475377.5949999994, 621404.18 475392.44499999937, 621414.32 475400.18499999936, 621425.69 475385.31999999937)));42;16
handel_region.43;MULTIPOLYGON (((617486.36 476699.0199999994, 617482.67 476699.7249999994, 617483.99 476706.5799999994, 617484.41 476706.50499999936, 617485.82 476713.98999999935, 617489.12 476713.35999999935, 617487.68 476705.87499999936, 617486.36 476699.0199999994)));43;3
handel_region.44;MULTIPOLYGON (((617648.93 476326.3449999994, 617654.93 476326.04499999934, 617654.48 476318.10999999935, 617648.48 476318.4099999994, 617648.93 476326.3449999994)));44;3
handel_region.45;MULTIPOLYGON (((617912.57 476307.17499999935, 617915.45 476301.8949999994, 617906.6 476297.10999999935, 617903.72 476302.4049999994, 617912.57 476307.17499999935)));45;4
handel_region.46;MULTIPOLYGON (((623439.8 478879.2249999994, 623450.42 478875.0849999994, 623445.2 478861.0899999994, 623444.8099999999 478860.80499999935, 623444.42 478860.74499999936, 623434.76 478864.49499999936, 623435.72 478867.35999999935, 623429.8099999999 478869.6549999994, 623433.14 478878.36999999936, 623438.6 478876.25499999936, 623439.8 478879.2249999994)));46;15
handel_region.47;MULTIPOLYGON (((618262.97 475537.7799999994, 618254.48 475540.13499999937, 618256.3099999999 475546.8249999994, 618264.83 475544.4549999994, 618262.97 475537.7799999994)));47;4
handel_region.48;MULTIPOLYGON (((623522.66 479013.3249999994, 623527.91 479028.0999999994, 623537.03 479024.79999999935, 623537.6 479026.43499999936, 623538.38 479026.1649999994, 623536.61 479021.2899999994, 623535.14 479017.2849999994, 623532.47 479009.85999999935, 623522.66 479013.3249999994)));48;11
handel_region.49;MULTIPOLYGON (((622933.49 471832.1649999994, 622920.74 471829.98999999935, 622921.22 471827.04999999935, 622903.91 471824.16999999934, 622899.74 471849.1449999994, 622917.08 471851.99499999936, 622918.28 471845.16999999934, 622930.97 471847.2249999994, 622933.49 471832.1649999994)));49;43
handel_region.50;MULTIPOLYGON (((621903.08 473697.62499999936, 621909.02 473701.6449999994, 621917.36 473689.35999999935, 621911.42 473685.3399999994, 621903.08 473697.62499999936)));50;7
handel_region.51;MULTIPOLYGON (((624352.49 471116.81499999936, 624363.11 471106.23999999935, 624356.03 471099.17499999935, 624345.41 471109.7199999994, 624352.49 471116.81499999936)));51;10
handel_region.52;MULTIPOLYGON (((616562 474092.1549999994, 616557.32 474084.7749999994, 616552.01 474088.13499999937, 616556.69 474095.5149999994, 616562 474092.1549999994)));52;4
handel_region.53;MULTIPOLYGON (((618150.35 472681.8249999994, 618150.14 472672.19499999937, 618140.9 472672.3899999994, 618141.08 472682.00499999936, 618150.35 472681.8249999994)));53;6
handel_region.54;MULTIPOLYGON (((617518.46 476676.4149999994, 617526.41 476706.23499999935, 617543.84 476701.73499999935, 617536.13 476672.0199999994, 617518.46 476676.4149999994)));54;37
